,,,,Overall,,,,,ISAT Reading Meets/Exceeds,,,,,,,,,,ISAT Math Meets/Exceeds,,,,,,,,,,ISAT Science Meets/Exceeds,,,,,,,,,,ISAT Composite Exceeds,,,,,,,,,,"ISAT Composite Exceeds, High Grade",,,,,,,,,,,Attendance,,,,,,,,,,Value-Added Reading,,,Value-Added Math,,
School ID,Unit,School Name,Area,2009-2010 Level,Total Percent of Possible Points,Total Points Received,Total Points Possible,2010 ISAT Composite Meets/ Exceeds Percent,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,High Grade,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2010,2009,2008,2007,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,Reading,Points,Points Possible,Math,Points,Points Possible
610212,6290,ALBANY PARK,1,Level 2,52.4%,22,42,78.1,73.4,80.3,79.5,77.3,76.9,-5.6,2,3,0,3,86.5,87.3,86.7,84.9,86.9,+0.2,3,3,1,3,71,71.5,75.6,72.3,71.3,-2.1,2,3,0,3,14.2,14.1,15,13,14.2,+0.2,1,3,1,3,8,15.4,15.8,14.1,14.9,15.6,+0.5,2,3,1,3,96.7,95.3,96.1,96.2,96,+0.8,3,3,3,3,-0.8,1,3,0,2,3
609789,2160,BARRY,1,Level 1,71.4%,30,42,71.3,63.5,55.1,60.3,58.1,59.3,+5.7,1,3,2,3,79.3,76,72.1,80.6,77.7,+3.1,2,3,2,3,70.3,48.6,59.7,61.3,59.5,+13.8,1,3,3,3,12.7,9.9,8.9,9.3,11.3,+3.3,1,3,2,3,6,15.2,14.9,11.7,8.2,15.1,+3.6,2,3,2,3,95.9,96.1,96,96.4,96,-0.3,3,3,3,3,2.1,3,3,1.6,3,3
609798,2260,BELDING,1,Level 1,83.3%,35,42,85.1,81.2,79.9,82,76.8,80.6,+1.6,3,3,1,3,88.2,81.9,79.6,80.4,85.1,+7.6,3,3,3,3,87.6,76,83.3,80.2,81.8,+7.8,3,3,3,3,25.3,24,21.2,16.5,24.7,+4.7,2,3,2,3,8,23.3,14,15.5,14.1,18.7,+8.8,2,3,3,3,95.5,94.9,95.3,95.2,95.2,+0.4,3,3,3,3,0.5,2,3,0.2,2,3
609836,2620,CANTY,1,Level 1,83.3%,35,42,90.8,87.5,86.7,84.3,85.1,87.1,+2.1,3,3,1,3,93.6,93,90.6,89.6,93.3,+2.5,3,3,3,3,92.1,90.2,89.1,90.6,91.2,+2.1,3,3,3,3,35.9,35.4,36,29.8,35.7,+2.2,3,3,1,3,8,34.2,29,26.2,28.2,31.6,+6.4,3,3,3,3,96.4,95.8,95.4,95.4,96.1,+0.9,3,3,3,3,-0.2,1,3,0.2,2,3
609857,2800,CLEVELAND,1,Level 2,66.7%,28,42,79.9,79.2,75.1,80,64.6,77.2,+6.0,2,3,3,3,83,83.7,82.1,77.5,83.4,+1.9,3,3,1,3,73.2,70.8,71.4,76.6,72,+0.3,2,3,1,3,15.5,14.4,12,10.3,15,+3.3,2,3,2,3,8,13,7.4,9.2,9.2,10.2,+4.4,1,3,2,3,95.7,95.6,95.3,95.1,95.7,+0.4,3,3,3,3,0.3,2,3,-0.5,1,3
609884,3020,DEVER,1,Level 1,81.0%,34,42,87.6,84.9,85.7,86.9,80.6,85.3,+0.5,3,3,1,3,90.1,85.5,88,86,87.8,+3.6,3,3,3,3,87.9,84.8,85.4,88.6,86.4,+1.6,3,3,1,3,25.7,23.9,19.3,19.5,24.8,+4.8,2,3,2,3,8,19.1,16.4,14.9,15.1,17.8,+3.6,2,3,2,3,96,96.1,95.8,96.1,96.1,0.0,3,3,3,3,1,3,3,1.1,3,3
610515,8045,DISNEY II,1,Not Enough Data,100.0%,15,15,92.4,89.1,,,,89.1,,3,3,,0,95.7,,,,95.7,,3,3,,0,,,,,,,,0,,0,54.3,,,,54.3,,3,3,,0,3,54.3,,,,54.3,,3,3,,0,97.1,96.4,,,96.8,,3,3,,0,,,0,,,0
609899,3150,EBINGER,1,Level 2,57.1%,24,42,89.7,87.7,90.1,91.8,85.1,88.9,-1.3,3,3,0,3,91.9,94,94.7,91.9,93,-1.6,3,3,3,3,89.4,90.1,93.5,91.7,89.8,-2.4,3,3,0,3,37.6,45.1,39.5,35.4,41.4,-2.4,3,3,0,3,8,27.7,35.1,28.1,33.7,31.4,-4.6,3,3,0,3,95.7,95.9,95.9,95.5,95.8,-0.1,3,3,3,3,-1.7,0,3,-1.5,0,3
609901,3170,EDGEBROOK,1,Level 1,88.1%,37,42,97.0,96.2,96,96.4,93.8,96.1,+0.8,3,3,3,3,98.5,99.2,98.6,99.5,98.9,-0.6,3,3,3,3,95.2,98.7,98.6,100,97,-3.9,3,3,3,3,56.3,60.7,52.2,57.7,58.5,-0.6,3,3,0,3,8,58.9,50,44.1,64.1,54.5,+6.2,3,3,3,3,96.8,96.7,96.4,96.8,96.8,+0.2,3,3,3,3,0.8,2,3,0.2,2,3
