,,,,Overall,,,,,,ISAT Reading Meets/Exceeds,,,,,,,,,,ISAT Math Meets/Exceeds,,,,,,,,,,ISAT Science Meets/Exceeds,,,,,,,,,,ISAT Composite Exceeds,,,,,,,,,,"ISAT Composite Exceeds, High Grade",,,,,,,,,,,Attendance,,,,,,,,,,Value-Added Reading,,,Value-Added Math,,
School ID,Unit,School Name,Network,2012-2013 Probation Status,2011-2012 Level,Total Percent of Possible Points,Total Points Received,Total Points Possible,2012 ISAT Composite Meets/ Exceeds Percent,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,High Grade,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2012,2011,2010,2009,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,Reading,Points,Points Possible,Math,Points,Points Possible
610549,8679,BANNER NORTH ES,Alternative Schools,Not Applicable,Not Enough Data,20.0%,3,15,38.5,50,,,,50,,1,3,,0,33.3,,,,33.3,,0,3,,0,,,,,,,,0,,0,7.7,,,,7.7,,1,3,,0,8,12.5,,,,12.5,,1,3,,0,83.4,,,,83.4,,0,3,,0,,,0,,,0
610551,8681,MILBURN MIDDLE SCHOOL,Alternative Schools,Not Applicable,Not Enough Data,0.0%,0,18,35.8,43.8,,,,43.8,,0,3,,0,28.1,,,,28.1,,0,3,,0,35.3,,,,35.3,,0,3,,0,4.9,,,,4.9,,0,3,,0,8,0,,,,0,,0,3,,0,77.8,,,,77.8,,0,3,,0,,,0,,,0
610553,8683,VIVIAN SUMMERS ALTERNATIVES ES,Alternative Schools,Not Applicable,Not Enough Data,14.3%,3,21,23.7,29.4,,,,29.4,,0,3,,0,23.5,,,,23.5,,0,3,,0,,,,,,,,0,,0,0,,,,0,,0,3,,0,8,0,,,,0,,0,3,,0,84.3,,,,84.3,,0,3,,0,-0.4,1,3,+0.1,2,3
610365,8020,BETHUNE,AUSL Schools,Probation,Level 3,35.7%,15,42,48.4,39.3,45,37.3,35.3,42.2,+0.1,0,3,1,3,61.6,67.7,47.5,36.4,64.7,+11.1,1,3,3,3,35.1,31.6,42.3,24.1,33.4,+2.4,0,3,1,3,5,4.7,3,1.9,4.9,+1.8,0,3,1,3,8,7.1,1.6,2.9,1.5,4.4,+5.1,0,3,2,3,95.4,93.3,92.8,92,94.4,+2.7,2,3,3,3,-2.1,0,3,-0.8,1,3
609806,2340,BRADWELL,AUSL Schools,Probation,Level 2,61.9%,26,42,58.2,53.5,46.5,50.3,41.2,50,+7.5,1,3,3,3,64.8,60.2,51.5,45.3,62.5,+12.5,1,3,3,3,52.4,47.2,30.7,34,49.8,+15.1,0,3,3,3,5.1,4.8,3.7,2,5,+1.6,1,3,1,3,8,9.3,0.7,5.4,1.9,5,+6.6,1,3,3,3,93.4,92.2,87.5,89.1,92.8,+3.8,1,3,3,3,+0.7,2,3,+1.0,3,3
610248,6670,CHGO ACAD ES,AUSL Schools,Not on Probation,Level 1,76.2%,32,42,92.5,90.9,90.3,86.7,88.5,90.6,+2.4,3,3,3,3,95,95,93.2,92.8,95,+1.3,3,3,3,3,89.7,88.9,85.7,86.1,89.3,+2.8,3,3,1,3,33.6,35.6,30.3,35.1,34.6,-0.1,3,3,0,3,8,28.8,24.6,21.9,29.8,26.7,+3.4,3,3,2,3,97,96.5,96.6,96.4,96.8,+0.5,3,3,3,3,-0.4,1,3,-0.6,1,3
609900,3160,CURTIS,AUSL Schools,Probation,Level 2,52.4%,22,42,64.2,54,56,40.3,36,55,+9.9,1,3,3,3,75.4,71.8,52.6,47.6,73.6,+18.1,2,3,3,3,60.9,36.7,45.1,27.4,48.8,+24.5,0,3,3,3,6.6,6.2,3.2,2.2,6.4,+2.7,1,3,1,3,8,3.9,5.3,3.3,0.7,4.6,+0.8,0,3,1,3,93.6,93.9,89.5,91.3,93.8,+2.0,2,3,3,3,-1.6,0,3,+0.4,2,3
609883,3010,DENEEN,AUSL Schools,Probation,Level 2,52.4%,22,42,60.5,53.1,52.8,51.3,50.9,53,+1.4,1,3,1,3,69.8,71,49.7,48.4,70.4,+13.4,2,3,3,3,54.5,56.9,45,28.6,55.7,+11.0,1,3,3,3,8.6,7,4,3.1,7.8,+3.9,1,3,2,3,8,4.9,8,2.8,0,6.5,+1.3,1,3,1,3,94.7,93.9,93.1,91.4,94.3,+1.9,2,3,3,3,-1.5,0,3,-0.4,1,3
609888,3050,DODGE,AUSL Schools,Not on Probation,Level 2,50.0%,21,42,81.5,77.9,75.3,77,72.7,76.6,+2.9,2,3,1,3,88.6,93.5,88.5,84.7,91.1,-0.3,3,3,0,3,71,81.1,80.6,68.3,76.1,-5.7,2,3,0,3,20.6,20.6,21.3,18.3,20.6,+0.5,2,3,1,3,8,14.6,12.5,13.8,12.2,13.6,+1.8,1,3,1,3,95.2,94.4,94.6,93.5,94.8,+1.0,2,3,3,3,+0.7,2,3,-1.0,1,3
