SQRP SY2019 Individual Indicator Scores (Based on 2017-2018 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2018-2019 SQRP Rating,SY 2018-2019 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400009,GLOBAL CITIZENSHIP,Charter,3.5,Level 1,Not Applicable,75,100,4,17.5,39,100,2,17.5,53.4,100,3,10,,,,,78,100,5,1.25,76,100,5,1.25,,,,,,,,,40,100,3,1.25,9,100,1,1.25,,,,,68,100,3,5,46,100,3,5,36,100,2,2.5,33,100,2,2.5,95.5,4,20,Well Organized,5,10,99.7,5,5,
400011,LOCKE A,Charter,2.5,Level 2+,Not Applicable,19,100,2,23.75,35,100,2,23.75,47.3,100,2,10,19,100,2,1.25,,,,,,,,,,,,,35,100,3,1.25,,,,,,,,,,,,,68,100,3,5,58,100,3,5,63,100,3,2.5,48,100,3,2.5,94.5,3,20,Not Enough Data,,,98.9,4,5,
400017,ASPIRA - HAUGAN,Charter,2.9,Level 2,Not Applicable,50,100,3,18.75,9,100,1,18.75,42.4,100,2,10,,,,,52,100,4,1.25,,,,,,,,,,,,,9,100,1,1.25,,,,,,,,,54,100,3,7.5,32,100,2,7.5,,,,,,,,,95.7,4,20,Well Organized,5,10,99.5,5,5,
400021,CATALYST - CIRCLE ROCK,Charter,3.4,Level 2+,Not Applicable,58,100,3,17.5,27,100,2,17.5,48.9,100,2,10,56,100,4,1.25,,,,,,,,,52,100,4,1.25,28,100,2,1.25,,,,,,,,,32,100,3,1.25,50,100,3,5,28,100,2,5,40,100,3,2.5,57,100,3,2.5,96.1,5,20,Well Organized,5,10,99.7,5,5,
400023,CICS - AVALON/SOUTH SHORE,Charter,3.8,Level 1,Not Applicable,75,100,4,17.5,52,100,3,17.5,60.2,100,4,10,75,100,5,1.25,,,,,,,,,90,100,5,1.25,55,100,4,1.25,,,,,,,,,47,100,3,1.25,77,100,4,5,67,100,3,5,78,100,4,2.5,88,100,4,2.5,95.5,4,20,Organized,4,10,100,5,5,
400024,CICS - BASIL,Charter,3,Level 2+,Not Applicable,68,99,3,16.25,63,98,3,16.25,58.1,99,3,10,68,99,4,1.25,73,99,5,1.25,,,,,19,100,2,1.25,65,98,4,1.25,47,99,3,1.25,,,,,40,98,3,1.25,57,99,3,5,57,98,3,5,38,99,2,2.5,33,99,2,2.5,94.1,3,20,Partially Organized,2,10,99.8,5,5,
400025,CICS - BUCKTOWN,Charter,3.5,Level 1,Not Applicable,58,100,3,15,48,100,3,15,55.7,100,3,10,60,100,4,1.25,64,100,4,1.25,46,100,3,1.25,32,100,3,1.25,63,100,4,1.25,47,100,3,1.25,48,100,3,1.25,14,100,2,1.25,79,100,4,5,63,100,3,5,94,100,5,2.5,99,100,5,2.5,94.4,3,20,Well Organized,5,10,100,5,5,
400026,CICS - LOOMIS,Charter,,Inability to Rate,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,100,2,,42,100,3,,91.3,1,,Organized,4,,99.4,5,,
400027,CICS - IRVING PARK,Charter,3.3,Level 2+,Not Applicable,40,100,3,17.5,31,100,2,17.5,50.2,100,3,10,,,,,44,100,3,1.25,,,,,1,100,1,1.25,,,,,28,100,2,1.25,,,,,34,100,3,1.25,74,100,4,5,66,100,3,5,80,100,4,2.5,59,100,3,2.5,95.3,4,20,Organized,4,10,100,5,5,
400028,CICS - PRAIRIE,Charter,2.7,Level 2,Not Applicable,14,100,2,17.5,17,100,2,17.5,43.7,100,2,10,3,100,1,1.25,48,100,3,1.25,,,,,,,,,7,100,1,1.25,35,100,3,1.25,,,,,,,,,32,100,2,5,42,100,3,5,51,100,3,2.5,81,100,4,2.5,95.2,4,20,Partially Organized,2,10,100,5,5,
400029,CICS - WASHINGTON PARK,Charter,3.9,Level 1,Not Applicable,76,100,4,17.5,92,99,5,17.5,66,100,4,10,76,100,5,1.25,,,,,,,,,42,100,3,1.25,92,100,5,1.25,,,,,,,,,24,100,2,1.25,60,100,3,5,47,99,3,5,62,100,3,2.5,48,100,3,2.5,94.1,3,20,Organized,4,10,99.8,5,5,
400030,CICS - WEST BELDEN,Charter,3.2,Level 1,Not Applicable,18,100,2,17.5,22,100,2,17.5,48,100,2,10,,,,,19,100,2,1.25,3,100,1,1.25,,,,,,,,,25,100,2,1.25,35,100,3,1.25,,,,,74,100,4,5,72,100,4,5,98,100,5,2.5,98,100,5,2.5,95.7,4,20,Well Organized,5,10,100,5,5,
400031,CICS - WRIGHTWOOD,Charter,3.4,Level 2+,Not Applicable,71,100,4,17.5,31,100,2,17.5,49.2,100,2,10,73,100,5,1.25,,,,,,,,,99,100,5,1.25,32,100,3,1.25,,,,,,,,,99,100,5,1.25,57,100,3,5,36,100,2,5,42,100,3,2.5,41,100,3,2.5,95.1,4,20,Well Organized,5,10,100,5,5,
