SchoolID,SchoolName,FullName,SchoolName2,ISBE Name,Street Number,Street Direction,Street Name,City,State,ZIP,NCES ID,CPS Unit,ISBE ID,OracleID,Class,School Type,S_Type,School Category,Governance,Charter Type,Grade Structure,Attending Grades,ProgramTypes,Ward,Community Area Number,Community Area,IL Senate District,IL Rep District,US Congressional District,GeographicArea,Geographic Area Number,Cook County District,Census Block,Latitude,Longitude,Location
609772,Addams,Jane Addams Elementary School,Addams,Addams Elem School,10810,S,Avenue H,Chicago,IL,60617,1.70993E+11,2020,1.50163E+14,22021,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,10,52,East Side,13,25,2,Far East Side,2,4,1.70315E+14,41.79356519,-87.64141858,"(41.7935651919, -87.6414185840999)"
609773,Agassiz,Louis A Agassiz Elementary School,Agassiz,Agassiz Elem School,2851,N,Seminary Ave,Chicago,IL,60657,1.70993E+11,2030,1.50163E+14,22031,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,44,6,Lake View,6,12,5,Lincoln Park,29,10,1.70311E+14,41.84967486,-87.62535151,"(41.8496748576, -87.6253515103)"
610513,Air Force HS,Air Force Academy High School,Air Force HS,Air Force Acad High School,3630,S,Wells St,Chicago,IL,60609,1.70993E+11,1055,1.50163E+14,45231,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Military||,11,34,Armour Square,3,6,3,Bridgeport - Chinatown,18,2,1.70313E+14,41.82777441,-87.67757853,"(41.8277744098, -87.6775785338)"
610212,Albany Park,Albany Park Multicultural Academy,Albany Park,Albany Park Multicultural Elem,4929,N,Sawyer Ave,Chicago,IL,60625,1.70993E+11,6290,1.50163E+14,32011,CPS,Regular,"District, non-alternative",MS,District,,ES,7th-8th,NA||,39,14,Albany Park,8,15,5,Albany Irving,27,12,1.70311E+14,41.69623491,-87.62714703,"(41.6962349093999, -87.6271470318999)"
609774,Alcott ES,Louisa May Alcott Elementary School,Alcott ES,Alcott Elem School,2625,N,Orchard St,Chicago,IL,60614,1.70993E+11,2040,1.50163E+14,22041,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,43,7,Lincoln Park,6,11,5,Lincoln Park,29,10,1.70311E+14,41.69873893,-87.53293943,"(41.6987389279, -87.532939427)"
610524,Alcott HS,Alcott High School for the Humanities,Alcott HS,Alcott Humanities High School,2957,N,Hoyne Ave,Chicago,IL,60618,1.70993E+11,8035,1.50163E+14,22041,CPS,Regular,"District, non-alternative",HS,District,,ES-HS,9th-12th,AVID||,1,5,North Center,6,11,5,Lincoln Park,29,8,1.70311E+14,41.77122167,-87.66649323,"(41.7712216704, -87.6664932336999)"
609848,Aldridge,Ira F Aldridge Elementary School,Aldridge,Aldridge Elem School,630,E,131st St,Chicago,IL,60827,1.70993E+11,2710,1.50163E+14,22641,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,9,54,Riverdale,15,29,2,Far South Side,22,5,1.70315E+14,41.7898284,-87.62241609,"(41.7898283982, -87.6224160902)"
400012,Amandla Chtr HS,Amandla Charter High School,Amandla Chtr HS,Amandla Elem Charter Sch,6800,S,Stewart Ave,Chicago,IL,60621,1.70993E+11,2035,15016299025227C,66551,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,ES-HS,5th-10th,NA||,6,68,Englewood,16,32,1,Englewood,4,3,1.70317E+14,41.77079113,-87.63522955,"(41.7707911322999, -87.6352295467)"
609780,Ames,Ames Middle School,Ames,Ames Middle School,1920,N,Hamlin Ave,Chicago,IL,60647,1.70993E+11,2090,1.50163E+14,41111,CPS,Regular,"District, non-alternative",MS,District,,ES,7th-8th,NA||,26,22,Logan Square,2,4,4,Logan,9,8,1.70312E+14,41.83382648,-87.6506521,"(41.8338264794999, -87.6506520970999)"
609695,Amundsen HS,Roald Amundsen High School,Amundsen HS,Amundsen High School,5110,N,Damen Ave,Chicago,IL,60625,1.70993E+11,1210,1.50163E+14,46031,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,IB||AVID||,47,4,Lincoln Square,7,13,5,Ravenswood,30,12,1.7031E+14,41.89000464,-87.70733287,"(41.8900046421, -87.7073328694999)"
