School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609772,Addams,Jane Addams Elementary School,10810 S Avenue H,Chicago,IL,60617,(773) 535-6210,http://www.jaddams.org,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,69.7,48.4,50,69.1,81,56.5,62.5,60.6,66.3,70.5,92.6,78.5,74.8,92.2,78.9,Average,48.4,35.6,33.3,54.3,55,56.8,57.5,49,35.6,20.7,57.1,52.5,50.5,67.6,47.7,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Neutral,73.9,61.3,3.4,2.2,96,95.3,96.8,96.9,No,No,1202811.36,1833818.906,-87.53301251,41.69871497,"(-87.53301251, 41.69871497)"
609773,Agassiz,Louis A Agassiz Elementary School,2851 N Seminary Ave,Chicago,IL,60657,(773) 534-5725,http://agassizschool.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,56.7,63.8,63.2,58.6,60,60.9,52.4,60.7,51.1,62.2,44.8,68,34.8,52.4,52.7,Above Average,62.7,68.8,64.1,61.3,48,69.6,59.1,62.8,62.5,60.5,61.3,68,69.6,54.5,62.6,Organized,Strong,Weak,Weak,Strong,Strong,Strong,39.7,29.6,1.9,2.6,95.2,95,96.8,96.4,Pending,No,1168495.925,1919310.804,-87.65619167,41.93412004,"(-87.65619167, 41.93412004)"
609774,Alcott Es,Louisa May Alcott Elementary School,2625 N Orchard St,Chicago,IL,60614,(773) 534-5460,http://www.alcottschool.net,North-Northwest Side High School Network,Fullerton Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,56.3,41.2,53.3,60.5,69,47.4,76.3,57.2,67.9,56.5,32.6,39,77.8,58.8,55.3,Far Above Average,74.1,83.6,76.6,63.6,69.8,67.5,76.3,73.4,83.6,78.7,58.1,64.3,83.8,79.4,74.8,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,63.2,54.5,1.7,1.9,96.6,96.2,97.1,96.7,No,No,1171189.134,1917774.756,-87.64633949,41.92984626,"(-87.64633949, 41.92984626)"
609775,Altgeld,John P Altgeld Elementary School,1340 W 71st St,Chicago,IL,60636,(773) 535-3250,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,3,Scantron,Average,48.5,34,47.2,40.4,39.1,49.1,52.2,43.8,59.3,64.8,35,49.1,49.1,57.8,53.1,Far Below Average,27.3,9.8,29.6,20.4,18.4,36.2,33.3,24.8,25.5,40,22.2,15,32.2,45.7,29.7,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,67.3,77.4,2.7,2.9,91.9,91,95.5,96.1,No,No,1168430.269,1857717.233,-87.6582125,41.76510322,"(-87.6582125, 41.76510322)"
609777,Armour,Phillip D Armour Elementary School,950 W 33rd Pl,Chicago,IL,60608,(773) 535-4530,http://www.armour.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,55.8,47.5,57.5,63,38.5,26.5,57.7,46.6,80,57.5,51.9,84.6,49,76.9,64.9,Below Average,35.1,50,34.1,44.4,29.6,32,34.6,37.4,52.5,26.8,11.1,37,28,38.5,32.7,Organized,Neutral,Neutral,Neutral,Strong,Very Strong,Neutral,30.9,20.7,3.9,3.7,93.9,92.3,95.8,96.5,Yes,No,1170302.817,1882796.194,-87.65061898,41.8338821,"(-87.65061898, 41.8338821)"
609779,"Armstrong, G",George Armstrong International Studies ES,2110 W Greenleaf Ave,Chicago,IL,60645,(773) 534-2150,http://www.georgearmstrongelementary.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,66.9,62.4,62.9,62.3,58.1,66.1,72.2,63.7,68.2,71.3,67.6,72.3,74.2,66.7,70,Above Average,55.6,49.7,50,35.6,43.4,60.6,60.2,49.4,51.5,60.1,56.1,67.6,71.7,68.6,61.8,Well-organized,Strong,Neutral,Strong,Strong,Strong,Neutral,81.5,97.1,2,2,96.3,96.4,96.3,96.5,Pending,No,1160591.979,1946966.544,-87.68446868,42.01017628,"(-87.68446868, 42.01017628)"
609780,Ames,Ames Middle School,1920 N Hamlin Ave,Chicago,IL,60647,(773) 534-4970,http://www.ames.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,60.2,,,,,43.7,59.1,51.8,,,,,69.7,68.2,68.9,Below Average,43,,,,,32.8,40,36.5,,,,,47.1,52,49.6,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Neutral,50.9,86.2,3.5,3.7,94.3,93.3,96,95.8,No,No,1150696.779,1912593.823,-87.72177945,41.91605519,"(-87.72177945, 41.91605519)"
609781,Attucks,Crispus Attucks Elementary School,5055 S State St,Chicago,IL,60609,(773) 535-1270,http://www.attucks.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,8,Scantron,Below Average,41.4,32,43.5,26.9,60,45.5,52,41.9,42.9,32.1,35,61.5,36.8,45.8,40.9,Far Below Average,15.9,22.6,19.2,6.9,5,24,42.3,20.4,6.7,21.4,12.5,5.9,9.5,8.3,11.1,Organized,Strong,Weak,Neutral,Strong,Neutral,Neutral,85.3,39,3.7,2.6,95.2,92.7,93.5,95.1,No,No,1177176.077,1871285.644,-87.6257474,41.80214349,"(-87.6257474, 41.80214349)"
609782,Audubon,John J Audubon Elementary School,3500 N Hoyne Ave,Chicago,IL,60618,(773) 534-5470,http://www.audubonelementaryschool.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,63.9,57.8,59.6,63.6,75,63.4,44.2,60.5,72.9,57.9,85.2,81.4,51.2,51.2,67.3,Above Average,68.5,69.4,61,69.6,74.4,63.4,68.2,67.5,73.5,64.4,76.8,82.2,58.5,59.5,69.5,Well-organized,Strong,Strong,Neutral,Neutral,Strong,Very Strong,42.3,,1.3,,96.2,95.9,96.7,96.5,No,Yes,1161693.811,1923258.727,-87.68107885,41.94509808,"(-87.68107885, 41.94509808)"
609786,Avalon Park,Avalon Park Elementary School,8045 S Kenwood Ave,Chicago,IL,60619,(773) 535-6615,http://www.avalon.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,1,Scantron,Far Below Average,25.6,20.6,22.2,28.1,18.8,30.6,36.8,26.4,18.2,28.6,17.9,27.6,26.5,29,24.7,Far Below Average,14,10.3,18.2,17.6,3,9.8,23.8,14.2,10,20.9,5.7,19.4,16.7,9.8,13.8,Organized,Neutral,Neutral,Weak,Strong,Strong,Weak,51.3,45.6,3,2.7,92.1,90.5,96.4,94.8,Pending,No,1186651.081,1851731.65,-87.59161761,41.74826636,"(-87.59161761, 41.74826636)"
