Zipcode,SchoolID,SchoolName,Probation,ProbationYears,AvgDaysSuspension,HealthySchoolCertified,Latitude,Longitude
60617,609772,Jane Addams Elementary School,No,0,3.4,No,-87.53301251,41.69871497
60657,609773,Louis A Agassiz Elementary School,No,0,1.9,Pending,-87.65619167,41.93412004
60614,609774,Louisa May Alcott Elementary School,No,0,1.7,No,-87.64633949,41.92984626
60636,609775,John P Altgeld Elementary School,Yes,3,2.7,No,-87.6582125,41.76510322
60608,609777,Phillip D Armour Elementary School,No,0,3.9,Yes,-87.65061898,41.8338821
60645,609779,George Armstrong International Studies ES,No,0,2,Pending,-87.68446868,42.01017628
60647,609780,Ames Middle School,No,0,3.5,No,-87.72177945,41.91605519
60609,609781,Crispus Attucks Elementary School,Yes,8,3.7,No,-87.6257474,41.80214349
60618,609782,John J Audubon Elementary School,No,0,1.3,No,-87.68107885,41.94509808
60619,609786,Avalon Park Elementary School,Yes,1,3,Pending,-87.59161761,41.74826636
60643,609788,Alice L Barnard Computer Math & Science Ctr ES,Yes,1,1.6,No,-87.65811642,41.70514024
60641,609789,John Barry Elementary School,No,0,2.5,No,-87.73942514,41.93251118
60620,609790,Clara Barton Elementary School,Yes,6,2.1,No,-87.67096453,41.75421962
60621,609791,Perkins Bass Elementary School,Yes,17,2.6,No,-87.65354234,41.77427377
60618,609792,Newton Bateman Elementary School,No,0,,Pending,-87.70218806,41.95823045
60621,609793,Nicholson Technology Academy,No,0,4.7,No,-87.64748868,41.7849277
60625,609794,Thomas A Edison Regional Gifted Center ES,No,0,,No,-87.70962725,41.9711433
60644,609795,George Rogers Clark Elementary School,No,0,1.8,No,-87.77038158,41.8678323
60630,609796,Jean Baptiste Beaubien Elementary School,No,0,1.1,No,-87.75752776,41.97237914
60612,609797,Jacob Beidler Elementary School,Yes,1,,No,-87.70581859,41.88529401
60641,609798,Hiram H Belding Elementary School,No,0,2,Pending,-87.73398223,41.95890499
60618,609799,Alexander Graham Bell Elementary School,No,0,1.3,No,-87.68605496,41.94952795
60628,609800,Frank I Bennett Elementary School,Yes,4,2,No,-87.61735342,41.71041656
60613,609803,James G Blaine Elementary School,No,0,3.4,No,-87.66495825,41.95080812
60645,609804,Daniel Boone Elementary School,No,0,2.2,Pending,-87.69750011,42.00343519
60620,609805,Scott Joplin Elementary School,Yes,4,2.1,No,-87.66932903,41.74934082
