Zipcode,SchoolID,SchoolName,HealthySchoolCertified ,4-YearGraduationRatePercentage_2013,CollegeEnrollmentRatePercentage_2013,SuspensionsPer100_2013,DropOutRatePercent_2013,Latitude,Longitude
60609,400010,"Architecture, Construction, and Engineering(ACE) Technical Charter",No,65.3,56.6,,1.9,-87.62588513,41.79609702
60621,400012,Amandla Charter High School,No,,,,5.9,-87.6353099,41.77079606
60618,400013,ASPIRA Charter - Early College,No,50,52.9,0.6,3.8,-87.7268241,41.93738186
60647,400015,ASPIRA Charter - Mirta Ramirez Computer Science,No,55.8,35.9,26.6,6.2,-87.69690545,41.9125311
60644,400018,Austin Business and Entrepreneurship Academy HS,No,46.5,51.7,189.9,1.4,-87.76321191,41.88520477
60616,400022,Chicago High School for the Arts,No,81.9,,17,1.7,-87.61364086,41.83109008
60620,400032,Chicago Intl Charter - Ralph Ellison,No,69.9,65.5,,6.7,-87.66897348,41.74835504
60643,400033,Chicago Intl Charter - Longwood,No,77,74.6,,5.1,-87.65577682,41.72119388
60659,400034,Chicago Intl Charter - Northtown,No,83.6,74.6,,1.8,-87.72653468,41.99027209
60626,400035,Chicago Math and Science Academy High School,No,68.8,56.5,,6,-87.67485599,42.01303498
60607,400036,Chicago Virtual Charter High School,No,9.7,,,12,-87.64981004,41.8805724
60623,400038,Community Services West Academy,No,,14.3,,29.5,-87.72498573,41.86496597
60632,400149,UNO Soccer Academy High School,No,,,,,-87.71098826,41.80175621
60624,400042,Henry Ford Academy Power House Charter HS,No,17.5,62.3,,17.1,-87.71048996,41.86931497
60642,400051,Noble Street Charter - Noble Street College Prep,No,73.3,77.4,,0.6,-87.66266462,41.9001948
60619,400052,Noble Street Charter - Gary Comer College Prep,No,69.1,95,,3.2,-87.60454374,41.76529142
60642,400053,Noble Street Charter - Golder College Prep,No,74.4,79.6,,1.6,-87.6644982,41.89530941
60639,400054,Noble Street Charter - Pritzker College Prep,No,81.1,85.2,,0.4,-87.73010225,41.91518673
60642,400055,Noble Street Charter - Rauner College Prep,No,78.3,78,,1.2,-87.66088796,41.89239717
60651,400056,Noble Street Charter - Rowe-Clark Math & Sci Acad,No,64.8,72,,1.7,-87.7180503,41.89533478
60608,400057,Noble Street Charter - UIC College Prep,No,74.1,55.4,,1.9,-87.67607361,41.86580003
60623,400058,North Lawndale College Prep Charter - Christiana,No,71.7,63.8,3.9,2.1,-87.70802532,41.85850181
