,,,,Overall,,,,,ISAT Reading Meets/Exceeds,,,,,,,,,,ISAT Math Meets/Exceeds,,,,,,,,,,ISAT Science Meets/Exceeds,,,,,,,,,,ISAT Composite Exceeds,,,,,,,,,,"ISAT Composite Exceeds, High Grade",,,,,,,,,,,Attendance,,,,,,,,,,Value-Added Reading,,,Value-Added Math,,
School ID,Unit,School Name,Area,"2008-2009 Level 
(*Level 2 through Review)",Total Percent of Possible Points,Total Points Received,Total Points Possible,2009 ISAT Composite Meets/ Exceeds Percent,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,High Grade,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,2009,2008,2007,2006,Current Status,Trend,Current Status Points,Current Status Points Possible,Trend Points,Trend Points Possible,Reading,Points,Points Possible,Math,Points,Points Possible
610212,6290,ALBANY PARK,1,Level 2,57.1%,24,42,81.2,80.3,79.5,77.3,76.8,79.9,2.4,2,3,1,3,87.3,86.7,84.9,81.3,87,3,3,3,2,3,71.5,75.6,72.3,78.6,73.6,-4,2,3,0,3,14.1,15,13,12.2,14.6,0.7,1,3,1,3,8,15.8,14.1,14.9,17.5,15,0.3,2,3,1,3,95.3,96.1,96.2,95.1,95.7,-0.5,3,3,3,3,-1.1,1,3,0,2,3
609789,2160,BARRY,1,Level 3,47.6%,20,42,63.8,55.1,60.3,58.1,60.1,57.7,-4.4,1,3,0,3,76,72.1,80.6,80.2,74.1,-1.6,2,3,0,3,48.6,59.7,61.3,69.4,54.2,-14.9,1,3,0,3,9.9,8.9,9.3,8.2,9.4,1.1,1,3,1,3,6,14.9,11.7,8.2,9.6,13.3,5.1,1,3,2,3,96.1,96,96.4,96.4,96.1,-0.2,3,3,3,3,0.5,2,3,3.7,3,3
609798,2260,BELDING,1,Level 2,64.3%,27,42,80.1,79.9,82,76.8,68.7,81,4.1,3,3,2,3,81.9,79.6,80.4,74.7,80.8,3.7,3,3,2,3,76,83.3,80.2,80.9,79.7,-5.5,2,3,0,3,24,21.2,16.5,10.6,22.6,7.9,2,3,3,3,8,14,15.5,14.1,8.7,14.8,1.2,1,3,1,3,94.9,95.3,95.2,94.8,95.1,-0.2,3,3,0,3,3,3,3,1.8,2,3
609836,2620,CANTY,1,Level 1,83.3%,35,42,89.9,86.7,84.3,85.1,82.6,85.5,2.7,3,3,1,3,93,90.6,89.6,89.8,91.8,3,3,3,3,3,90.2,89.1,90.6,89.8,89.7,0.4,3,3,3,3,35.4,36,29.8,25.7,35.7,4.9,3,3,2,3,8,29,26.2,28.2,22.8,27.6,3.3,3,3,2,3,95.8,95.4,95.4,95.3,95.6,0.4,3,3,3,3,1.5,2,3,-1.8,1,3
609857,2800,CLEVELAND,1,Level 2,66.7%,28,42,78,75.1,80,64.6,58.5,77.6,7.4,2,3,3,3,83.7,82.1,77.5,69.2,82.9,7.4,3,3,3,3,70.8,71.4,76.6,62.1,71.1,0.8,2,3,1,3,14.4,12,10.3,7.3,13.2,4.5,1,3,2,3,8,7.4,9.2,9.2,7.5,8.3,-1.2,1,3,0,3,95.6,95.3,95.1,94.2,95.5,0.7,3,3,3,3,-1.5,1,3,2.8,3,3
609884,3020,DEVER,1,Level 2,66.7%,28,42,85.5,85.7,86.9,80.6,78.6,86.3,3.7,3,3,2,3,85.5,88,86,87.6,86.8,-1.7,3,3,0,3,84.8,85.4,88.6,86,85.1,-1.9,3,3,0,3,23.9,19.3,19.5,17.5,21.6,5.1,2,3,2,3,8,16.4,14.9,15.1,8.2,15.7,3.7,2,3,2,3,96.1,95.8,96.1,96,96,0.1,3,3,3,3,0.6,2,3,-0.9,1,3
609899,3150,EBINGER,1,Level 1,97.6%,41,42,91.8,90.1,91.8,85.1,86.2,91,2.4,3,3,3,3,94,94.7,91.9,89.3,94.4,2,3,3,3,3,90.1,93.5,91.7,87.9,91.8,-0.9,3,3,3,3,45.1,39.5,35.4,31.7,42.3,9.6,3,3,3,3,8,35.1,28.1,33.7,14.9,31.6,9.5,3,3,3,3,95.9,95.9,95.5,95.9,95.9,0.1,3,3,3,3,0.2,2,3,3.1,3,3
609901,3170,EDGEBROOK,1,Level 1,90.5%,38,42,97.7,96,96.4,93.8,95.1,96.2,0.9,3,3,3,3,99.2,98.6,99.5,99.5,98.9,0,3,3,3,3,98.7,98.6,100,100,98.7,-0.8,3,3,3,3,60.7,52.2,57.7,56,56.5,5.4,3,3,2,3,8,50,44.1,64.1,48.3,47.1,-2.2,3,3,0,3,96.7,96.4,96.8,97.3,96.6,-0.1,3,3,3,3,2.3,3,3,4.4,3,3
610523,2085,EDISON PARK,1,Not Enough Data,91.7%,22,24,91.8,91.2,,,,91.2,,3,3,,0,92,,,,92,,3,3,,0,93.5,,,,93.5,,3,3,,0,38.4,,,,38.4,,3,3,,0,8,47.1,,,,47.1,,3,3,,0,95.3,,,,95.3,,3,3,,0,1.7,2,3,0.5,2,3
